Nuclear_mRNA,Cytoplasmic_mRNA,Cell_volume
1,1,0.958077191
0,3,0.837351887
0,1,0.727616262
0,0,1.041455348
1,4,1.067302556
0,1,0.990362631
0,0,0.882328155
0,1,0.908716589
2,1,0.727360007
0,1,0.879079233
0,0,0.947498047
1,2,0.929708487
2,3,1.158996717
0,1,1.023732906
0,0,0.794135685
2,7,1.689135887
0,0,0.976964859
0,0,0.841934714
0,0,1.023404591
2,5,1.668589574
1,2,0.743645748
4,18,1.759079858
1,7,1.359187065
0,0,1.176701149
0,0,0.894527247
2,5,1.031555001
0,3,1.171714788
0,0,0.777787221
0,0,1.263837824
0,1,0.797827579
0,1,0.749927203
0,2,0.869498903
0,1,1.18050582
0,0,0.950349439
1,2,1.14104963
2,10,1.563462697
1,23,1.751448082
0,1,1.028971439
0,0,0.891945533
0,0,0.983987182
0,2,0.797735605
0,0,1.08023496
1,2,0.99649527
0,6,0.994356893
0,0,0.947843657
0,3,0.999443015
0,0,0.851326611
0,2,0.728656607
0,1,1.157256221
1,1,1.108892725
0,0,1.310785118
0,0,0.980640689
0,0,0.941322861
0,0,0.926833868
0,1,1.112075128
0,2,0.778790416
1,2,0.98241688
0,2,0.796215002
0,1,0.967752056
0,0,0.86415506
0,2,1.073052632
0,3,0.63080611
0,1,0.789440284
2,7,1.328405001
0,1,0.970214333
0,0,1.085317118
0,1,0.790013298
1,3,0.848661219
0,0,1.265132017
0,0,1.031210332
0,3,0.984849841
0,3,0.90776694
0,2,0.86160554
0,0,0.74842116
1,1,0.856242586
0,0,0.980689898
0,2,0.874105101
1,1,0.860969495
0,1,0.642343902
0,4,1.088591371
4,29,1.520354617
0,0,0.674698878
0,0,0.838733834
1,2,0.896185775
0,0,0.705817672
0,0,1.344237779
1,1,0.72257479
0,0,1.302172761
1,1,1.052314233
1,1,0.68920977
0,2,0.995447622
0,2,0.808136128
0,0,0.936415372
0,1,0.948513104
0,0,1.096202034
0,1,0.952004244
0,1,0.831494824
0,1,0.744144215
0,2,0.752757792
3,22,1.443755792
0,3,1.089158329
0,0,0.957785312
0,1,1.403707119
0,0,1.139562778
0,0,0.827996916
0,1,1.314351081
0,2,1.203542112
0,0,1.103318479
1,2,0.96735106
0,1,0.86722576
0,1,0.741401991
0,0,0.770622638
0,2,0.911038131
0,2,0.654710721
0,0,0.783857008
0,3,1.393084021
0,1,1.084654957
0,1,0.881984806
0,0,1.552836326
0,0,0.897788504
0,2,1.163800146
0,4,1.235763854
0,1,1.179699689
0,2,0.887036818
0,1,1.342122339
2,21,1.288585655
0,1,0.846709768
0,0,0.899682499
0,1,1.020430046
1,5,1.446320069
0,0,1.180120737
1,3,0.930632271
1,1,1.447799906
0,1,0.943555622
0,1,1.05197857
0,0,0.950801356
0,0,1.054639591
0,1,1.155626975
0,1,1.200222938
0,0,0.742847696
1,1,0.993284439
0,1,0.857044512
0,4,1.037564357
0,0,0.834235273
2,32,1.620279235
0,1,1.031161841
0,0,0.97676146
0,1,1.069765881
0,2,1.130850066
1,0,1.350805061
1,0,1.074436425
0,2,1.320346081
1,7,1.071570011
1,3,0.900633414
0,1,1.061141671
0,2,0.972741976
1,0,0.888178541
0,0,0.636723028
1,1,0.567779954
0,0,0.97286873
0,1,0.853530441
1,2,0.706610213
0,0,0.811207384
0,0,0.872662295
0,2,0.949147089
2,9,1.15260508
0,0,0.922186246
0,1,0.848671103
0,1,0.767180278
0,0,1.271692669
0,1,1.084489031
1,1,0.724148372
0,1,1.005227108
1,5,1.394581567
2,1,0.686369241
0,0,1.32119646
0,2,0.803252071
0,2,1.169523028
0,4,1.39884413
1,3,1.419613916
0,0,0.723029392
0,2,0.86365287
3,1,1.302080102
0,1,0.863111753
1,2,0.613432186
0,1,0.795710529
0,2,1.012977737
1,2,0.773505867
2,5,1.48203855
0,1,0.699764673
1,3,1.308334447
0,3,0.626912181
0,2,0.849019073
5,29,1.418115129
0,0,1.052770553
0,0,0.807428399
0,1,0.93002867
0,1,1.050988072
0,0,1.136847498
0,1,0.787594859
1,1,0.994627283
1,1,0.660180179
1,2,1.139912849
1,2,1.017419056
0,2,1.031106024
0,2,0.837284111
0,0,0.916284684
3,19,1.225536115
0,4,0.927794452
0,0,0.757064006
0,3,0.86790718
3,21,1.050284643
1,1,0.993428737
0,2,0.739871962
0,1,0.932521692
0,0,0.984971025
0,2,0.712388984
2,3,1.153016201
1,0,1.046719222
0,8,1.535947964
0,2,1.073220955
0,0,1.226819635
0,1,0.706070396
0,0,1.172123046
0,4,0.80966582
0,4,0.883403287
0,1,0.927554646
1,3,1.219093878
0,0,1.282283595
0,0,1.315801442
1,1,0.894504002
0,4,0.738750682
0,0,0.794635072
1,4,1.065679883
0,0,0.959555139
1,1,0.750974536
2,0,0.802113834
0,0,1.327114833
1,1,0.680128837
0,1,0.922615278
0,1,0.636106045
0,1,1.119642916
1,1,1.063080428
1,0,0.861606356
1,0,0.858677361
0,1,0.716490456
0,1,0.77330409
0,1,1.038208596
1,0,0.701155021
0,0,1.086091011
0,1,1.470852533
1,1,0.805236385
0,0,1.343402645
2,5,1.196611124
0,0,0.913951797
1,1,0.815652774
0,0,1.153148727
0,1,0.823087261
0,2,1.362589383
0,0,1.037340937
1,9,1.533361957
0,0,0.7588289
1,0,0.908381126
0,0,1.304420747
0,0,1.049254916
0,2,1.023677204
0,2,1.107250011
0,0,0.968871016
0,2,0.731523921
1,1,0.724446683
0,0,0.963483193
0,2,0.703825578
1,20,1.364881148
1,2,1.556435254
0,1,0.965960147
0,0,0.946378223
0,1,1.282740111
0,3,0.92925868
0,2,0.937388444
0,0,1.044683377
0,1,0.838215899
0,0,1.060480378
0,1,0.906662729
1,1,0.954870215
0,1,1.058842763
0,0,0.999643082
0,5,0.753979628
0,3,0.887965073
0,0,0.863512716
1,2,0.96648487
0,0,1.234400753
0,0,0.866942211
0,2,0.848739278
2,1,0.968882428
1,2,0.708043731
3,25,1.267328282
1,3,0.780004536
0,0,0.577011001
0,2,1.097640829
0,0,1.143673251
0,1,1.295245044
0,5,0.809347848
0,1,1.151735729
0,2,0.875205173
0,1,1.355859231
0,5,1.826681991
0,0,1.31383792
0,0,1.150620044
0,1,1.196863999
1,1,0.683954465
2,4,1.36428994
0,1,1.511566538
1,1,1.116432837
1,3,1.010032494
0,0,0.97123757
1,4,1.580058863
0,0,1.011662054
0,3,1.47770323
1,4,1.079231616
0,0,1.266323215
0,1,0.826019205
1,2,1.354712886
0,1,1.052601874
1,0,0.808004102
0,3,1.102184313
0,0,1.227354857
1,1,1.023046151
0,2,1.083416743
4,29,1.788183421
0,3,1.082873738
0,0,1.195020242
0,3,0.988864189
2,4,0.77610423
0,1,1.051008364
0,1,0.980576125
0,2,1.139357113
0,2,0.913377496
4,15,1.17592841
0,0,0.810915264
1,0,0.789907506
0,0,1.098918653
0,0,0.96739654
2,0,0.95445169
0,0,0.648174035
0,0,0.907008068
0,4,0.60479115
1,9,1.839230497
0,1,0.766358965
0,1,1.029220816
0,3,1.362528537
0,0,1.200649771
0,1,1.02243294
1,0,0.869976149
0,0,0.781878786
0,0,0.800508394
0,0,1.013925398
1,2,1.339852306
0,0,0.992353867
0,0,0.937667827
0,1,0.704115208
0,0,1.598902225
0,0,1.195143449
3,17,1.337848337
0,0,0.89541512
1,5,1.372416527
0,5,1.454404644
0,2,0.960425008
0,2,0.951635658
0,0,0.927277394
0,2,0.981022104
0,1,1.348220009
0,0,1.218897996
0,2,0.83375901
0,1,0.933686896
0,2,0.955367126
0,2,1.453299883
0,3,0.856869447
0,2,0.796267378
0,1,1.078465005
0,0,1.080743784
0,0,1.044954683
0,0,0.950350028
0,1,0.704313117
0,2,0.751461033
2,2,1.232208122
1,3,0.851811335
1,1,0.685163354
0,0,0.943131772
0,0,0.847836014
0,0,0.967889794
0,2,0.960200335
1,1,0.675258249
0,2,0.781662004
0,0,0.923736415
0,2,1.306112691
0,3,0.837523168
0,1,1.038850896
2,5,0.810099878
1,2,0.862374754
0,1,0.696681711
0,0,0.820005873
0,1,0.911625277
1,1,0.869128251
1,0,0.736862774
0,1,0.739195101
0,2,0.945907868
0,0,0.885378568
0,1,0.75679502
0,2,0.783689547
0,1,0.625262006
1,1,0.902706624
0,0,0.944108097
0,1,0.737523825
0,1,0.728326561
0,1,1.035306883
0,2,0.712390096
0,2,0.801204015
0,3,0.630548905
0,1,0.76385083
0,3,0.854328652
1,9,1.084145386
1,3,1.170823854
0,2,0.885378568
0,7,1.314168407
0,1,0.674045125
0,0,0.767503585
0,1,1.260179108
0,0,1.103023413
0,1,0.837488867
1,15,1.475805276
0,1,0.775006608
1,1,0.81401696
0,0,0.993205462
0,0,0.755379059
0,0,0.927723197
3,14,1.676008815
1,2,0.792990684
0,1,1.116983908
0,2,1.096042766
0,1,0.845650856
0,2,1.318484074
0,0,0.95229956
0,1,0.723308314
0,1,0.922953836
0,2,0.925502523
0,1,1.011318343
0,2,0.768116561
0,21,1.23136961
0,1,0.682345327
0,2,0.765362172
0,1,0.938076095
0,0,1.015267654
0,0,0.956974775
0,0,0.610988252
0,0,0.73335329
0,0,1.073985178
1,2,1.367842724
0,0,1.023984266
0,2,1.196640277
0,2,0.810273612
0,0,1.190456815
0,1,1.140989654
0,4,1.129495929
0,2,1.053387094
1,0,1.124538137
0,0,1.187791522
0,1,0.961289776
1,0,0.709087684
0,0,0.945615328
0,2,1.039187315
2,3,0.819639158
1,5,1.167225041
0,3,0.925574358
0,0,0.821492496
0,2,0.728894922
0,0,0.840801662
0,3,1.287099102
0,0,0.93030528
0,2,1.242442301
1,3,1.493924058
0,0,0.761590686
0,1,0.940031531
0,0,0.932503051
0,1,0.921095838
2,2,1.385196765
1,2,0.75073115
0,6,0.87758527
0,1,0.921971021
0,0,1.085838259
0,3,0.731346218
0,0,1.026792104
0,1,0.957574437
1,2,0.988352983
0,0,1.533635388
0,1,0.983625593
0,2,0.74963664
0,1,0.795822169
1,0,0.872747401
0,2,0.937634513
0,0,1.210098032
0,4,1.12037025
0,0,0.716437074
0,0,0.768241358
0,1,1.19234986
0,0,1.186775128
0,5,0.671332628
0,1,0.952885781
0,1,0.887845148
2,16,1.453287452
0,0,0.89434082
0,1,1.131131976
0,0,0.76436432
0,1,0.978182912
0,3,0.697603219
0,0,1.157652902
1,1,0.612017911
0,2,1.246713816
0,1,1.052365133
1,0,0.879469716
0,2,1.085560622
0,1,0.941683444
1,7,1.329587093
1,10,1.452395746
0,0,0.917829476
0,2,0.80192741
3,3,1.535182457
0,0,0.767574298
1,4,0.782661469
0,0,0.770364591
1,1,0.918194625
0,3,0.729192408
4,25,1.373543948
0,2,1.004891392
0,2,0.736199199
0,3,0.742561902
0,3,1.075148212
0,1,0.889863625
